CustomerID,Age,Gender,Tenure,Contract,PaymentMethod,SubscriptionPlan,MonthlyCharges,TotalCharges,LastLoginDays,JoinMonth,Churn,ChurnLabel,TenureBucket,AgeGroup,ChargeBracket,AutoPay
CUST-00001,56,Male,13,Two Year,Credit Card (Auto),Basic,24.07,308.46,22,2022-09,0,No,12–24 months,46–60,Low (<$30),1
CUST-00002,69,Male,14,Month-to-Month,Mailed Check,Standard,50.1,710.22,10,2022-07,0,No,12–24 months,60+,Mid ($30–55),0
CUST-00003,46,Female,61,Month-to-Month,Mailed Check,Standard,48.37,2953.71,37,2022-09,1,Yes,24+ months,46–60,Mid ($30–55),0
CUST-00004,32,Female,25,Month-to-Month,Bank Transfer (Auto),Basic,32.6,818.74,29,2022-07,1,Yes,24+ months,26–35,Mid ($30–55),1
CUST-00005,60,Male,40,Two Year,Bank Transfer (Auto),Standard,52.65,2111.19,17,2022-02,0,No,24+ months,46–60,Mid ($30–55),1
CUST-00006,25,Male,72,One Year,Bank Transfer (Auto),Basic,26.54,1907.7,2,2023-09,0,No,24+ months,18–25,Low (<$30),1
CUST-00007,38,Male,72,Month-to-Month,Credit Card (Auto),Standard,51.04,3676.15,10,2023-08,0,No,24+ months,36–45,Mid ($30–55),1
CUST-00008,56,Female,12,Two Year,Mailed Check,Standard,48.78,580.76,29,2023-04,1,Yes,3–12 months,46–60,Mid ($30–55),0
CUST-00009,36,Female,72,Month-to-Month,Credit Card (Auto),Standard,60.65,4373.49,14,2022-10,0,No,24+ months,36–45,High ($55–75),1
CUST-00010,40,Male,1,One Year,Mailed Check,Standard,50.11,52.1,11,2023-12,0,No,0–3 months,36–45,Mid ($30–55),0
CUST-00011,28,Female,15,One Year,Credit Card (Auto),Premium,78.43,1171.32,46,2022-10,0,No,12–24 months,26–35,Very High (>$75),1
CUST-00012,28,Female,72,Month-to-Month,Electronic Check,Basic,27.97,2021.84,0,2023-02,0,No,24+ months,26–35,Low (<$30),0
CUST-00013,41,Male,10,Month-to-Month,Electronic Check,Premium,78.22,783.82,0,2022-09,1,Yes,3–12 months,36–45,Very High (>$75),0
CUST-00014,70,Female,10,Two Year,Bank Transfer (Auto),Basic,25.41,254.0,33,2023-07,0,No,3–12 months,60+,Low (<$30),1
CUST-00015,53,Female,11,Month-to-Month,Electronic Check,Standard,52.9,572.59,0,2023-07,0,No,3–12 months,46–60,Mid ($30–55),0
CUST-00016,57,Male,30,One Year,Electronic Check,Standard,53.42,1610.8,6,2023-09,0,No,24+ months,46–60,Mid ($30–55),0
